product_name,merchant_image_url,description,size,search_price,brand_name,category,ingredients,Anwendung,vegan,alcoholFree,fragranceFree
100% Pure - Restorative Sea Culture Hydrating Toner - Gesichtswasser,https://www.100percentpure.de/media/image/product/2402/lg/restorative-sea-culture-hydrating-toner-gesichtswasser.jpg,"Das feuchtigkeitsspendende Gesichtswasser macht die Haut weich, polstert sie auf und versorgt sie intensiv mit Feuchtigkeit. Die Formel basiert auf gelartigem Algin aus mineralstoffreichen Algen, die aus reinen, sauberen Gewässern gewonnen werden. --118ml",118 ml,40.5,100% Pure,Toner,"Salvia Hispanica (Chia) Water [1], Hamamelis Virginiana (Witch Hazel) Powder [1], Glycerin [1], Algae Extract [1], Yeast Ferment Extract, Macrocystis Pyrifera (Sea Kelp) Extract [1], Lonicera Japonica (Honeysuckle) Flower Extract [1], Xanthan Gum, Hyaluronic Acid, Citrus Bergamia Fruit Oil [2], Cedrus Atlantica (Cedarwood) Bark Oil [2], Vetiver [2], Citrus Sinensis (Orange) Oil [2], Salvia Officinalis (Sage) Oil [2], Lavandula Angustifolia Oil [2].

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
","Der Restorative Sea Culture Hydrating Toner ist optimal für die morgendliche und abendliche Gesichtspflege geeignet.
Nach der Gesichtsreinigung ein weiches Wattepad mit dem Gesichtswasser tränken und sanft über Hals und Gesicht streichen.
Kann auch für die empfindliche Augenpartie genutzt werden.",TRUE,TRUE,FALSE
Aestura - Atobarrier365 Cream - Hautbarriere Stärkende Feuchtigkeitscreme - atobarrier365 Cream 45ml,https://media.sephora.eu/content/dam/digital/pim/published/A/AESTURA/783255/386330-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Feuchtigkeitscreme mit Ceramiden in hoher Dichte für empfindliche Haut

Die Atobarrier365 Cream ist intensiv feuchtigkeitsspendend und hilft, die Hautbarriere wiederherzustellen und zu stärken. Entwickelt für trockene und empfindliche Haut, spendet diese reichhaltige Creme mit leichter Textur langanhaltende Feuchtigkeit und lindert Irritationen, wodurch die Haut weich und glatt wird.  --45ml",45 ml,19.95,Aestura,Feuchtigkeitspflege,"Water / Aqua / Eau, Butylene Glycol, Glycerin, Butylene Glycol Dicaprylate/Dicaprate, Cetyl Ethylhexanoate, Squalane, Pentaerythrityl Tetraisostearate, Dicaprylyl Carbonate, Behenyl Alcohol, Dimethicone, Hydroxypropyl Bispalmitamide MEA, Stearic Acid, Betaine, Mannitol, C14-22 Alcohols, Palmitic Acid, Hydroxypropyl Bislauramide MEA, Arachidyl Alcohol, Cholesterol, Polyacrylate-13, C12-20 Alkyl Glucoside, Allantoin, Arachidyl Glucoside, Niacinamide, Ceramide NP, Glyceryl Caprylate, Ethylhexylglycerin, Hydrogenated Polyisobutene, Carbomer, Tromethamine, Dimethiconol, Polyglyceryl-10 Laurate, Hydrogenated Lecithin, Ethylhexyl Palmitate, Acrylates/Ammonium Methacrylate Copolymer, Sorbitan Isostearate, Silica, Phytosphingosine, Sphingolipids, Arachidic Acid, Tocopherol, Oleic Acid

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
","Morgens und abends nach dem Gesichtswasser und dem Serum gleichmäßig auf die saubere Haut auftragen. Die sichtbaren Ceramide-Kapseln schmelzen sanft bei der Anwendung. Verteile das Produkt mit einem
leichten Druck auf der Haut,
damit es besser einziehen kann.",FALSE,TRUE,TRUE
Aestura - ATOBARRIER365 Foaming Cleanser - pH-ausgleichender Reinigungsschaum,https://media.sephora.eu/content/dam/gdam/europe/digital/pim/published/A/AESTURA/783262/386319-media_swatch-0.jpg?scaleWidth=750&scaleHeight=750&scaleMode=fit,"Ein sanfter, pH-neutraler Reinigungsschaum für empfindliche Haut.

ATOBARRIER365 FOAMING CLEANSER ist ein sanfter, pH-neutraler Cleanser, der speziell für empfindliche Haut entwickelt wurde.

Was ist das?
Ein dermatologisch getesteter Cleanser mit Pumpspender, der sich in einen reichhaltigen, cremigen Schaum verwandelt, um die Reibung durch das Massieren zu minimieren und eine sanfte Reinigung der Haut bietet. Mit einem leicht sauren pH-Wert formuliert, hilft diese Formel, die pH-Balance der Haut aufrechtzuerhalten und ist ideal für empfindliche Haut geeignet.

Hauttyp: Normale Haut

Was ist in der Formel enthalten?
Sie enthält einen sanften, pH-ausgleichenden Komplex. Der leicht saure Cleanser entfernt effektiv Verunreinigungen, und bewahrt dabei die natürliche Schutzbarriere der Haut. Entwickelt für empfindliche Haut, reinigt sie, ohne Irritationen zu verursachen und hilft, den pH-Wert der Haut auszugleichen.

Das Ergebnis?
Verunreinigungen werden sanft entfernt, ohne die Haut auszutrocknen. Der Cleanser trägt gleichzeitig dazu bei, den gesunden pH-Wert der Haut aufrechtzuerhalten und ihre Feuchtigkeitsbarriere zu schützen. Hinterlässt die Haut weich, mit Feuchtigkeit versorgt und erfrischt – ideal für die tägliche Anwendung, auch bei empfindlicher Haut. --150ml",150 ml,18.95,Aestura,Gesichtsreinigung,"Water / Aqua / Eau, Glycerin, Sorbitol, Propanediol, Coco-Glucoside, Caprylyl / Capryl Glucoside, Disodium Cocoamphodiacetate, Disodium Cocoyl Glutamate, Sodium Chloride, Citric Acid, Glyceryl Caprylate, Disodium Edta, Ethylhexylglycerin, Butylene Glycol, Tocopherol, Camellia Sinensis Leaf Extract.  

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.","Massiere den Cleanser sanft auf das Gesicht,
wasche ihn anschließend mit lauwarmem Wasser ab. Verwende bei Bedarf ein Make-up-Entferneröl oder einen Make-up-Entferner für hartnäckiges Make-up.",TRUE,TRUE,TRUE
Aestura - Atobarrier365 Hydro Soothing Cream - Beruhigende Feuchtigkeitscreme - atobarrier365 Hydro Soothing Cream 60ml,https://media.sephora.eu/content/dam/digital/pim/published/A/AESTURA/783258/386317-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Eine erfrischende und beruhigende Gel-Creme für fettige und empfindliche Haut.

ATOBARRIER365 Hydro Soothing Cream ist eine erfrischende Gel-Creme, die schnell einzieht und speziell für Mischhaut, fettige und empfindliche Haut entwickelt wurde. Sie spendet intensiv Feuchtigkeit, ohne einen Fettfilm zu hinterlassen und senkt sofort die Hauttemperatur um 5,5 °C* – für ein frisches und beruhigtes Aussehen der Haut. --60ml",60 ml,30.95,Aestura,Feuchtigkeitspflege,"Water / Aqua / Eau, Propanediol, Glycerin, Phenyl Trimethicone, Methyl Trimethicone, 1,2-Hexanediol, Trehalose, Dicaprylyl Carbonate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Caprylate, Glyceryl Stearate, Tromethamine, Disodium EDTA, Ethylhexylglycerin, Stearic Acid, Palmitic Acid, Polyglyceryl-3 Methylglucose Distearate, Sorbitan Isostearate, Mannitol, Arginine, Serine, Sucrose, PCA, Citrulline, Glycogen, Histidine HCl, Alanine, Tocopherol, Hydroxypropyl Bispalmitamide MEA, Threonine, Glutamic Acid, Myristic Acid, Arachidic Acid, Lysine HCl, Acrylates/Ammonium Methacrylate Copolymer, Cholesterol, Silica

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
",Morgens und abends nach dem Gesichtswasser und dem Serum gleichmäßig auf die gereinigte Haut auftragen.,FALSE,TRUE,TRUE
Aime - The Simple Cleanser - Gesichtsreinigungsgel - the Simple Cleanser,https://media.sephora.eu/content/dam/digital/pim/published/A/AIME/571682/259068-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Dieses nicht schäumende Reinigungsgel mit seidiger Textur reinigt die Haut, ohne sie zu reizen oder auszutrocknen.

Die Rinde der Silber-Weide (Salizylsäure) fördert die Zellerneuerung und trägt zu einer reinen Haut bei. Rosenwasser beruhigt die Haut und hat dabei eine erfrischende und belebende Wirkung.
Unser Komplex mit Prä- & Probiotika trägt zum Gleichgewicht der Hautflora bei. Für alle Hauttypen geeignet.


Vegan : Produkte aus natürlich gewonnenen Inhaltsstoffen. --100ml",100 ml,14.5,Aime,Gesichtsreinigung,"Aqua (Water), Rosa Damascena Flower Water, Glycerin, Propanediol, Cellulose Gum, Alpha-Glucan Oligosaccharide, Salix Alba (Willow) Bark Extract, Inulin, Polymnia Sonchifolia Root Juice, Fructose, Glucose, Centella Asiatica Leaf Extract, Lactobacillus, Anthemis Nobilis Flower Extract, Caprylyl/Capryl Glucoside, Xanthan Gum, Cellulose, Maltodextrin, Tetrasodium Glutamate Diacetate, Citric Acid, Sodium Hydroxide, Sodium Benzoate, Citronellol, Geraniol.

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.","Anwendung: Morgens und abends eine haselnussgroße Menge in die feuchte Haut einmassieren, dann mit dem dafür vorgesehenen AIME Baumwolltuch abwaschen.",TRUE,TRUE,TRUE
Anthelios - Oil Control Gel-Creme UVMune 400 LSF 50+,https://www.versandapo.de/images/product_images/popup_images/18320165.jpg,"Die Anthelios Oil Control Gel-Creme UVMune 400 LSF 50+ bietet sehr hohen Schutz vor UVB- und langwelligen UVA-Strahlen. Sie wurde speziell für ölige Haut entwickelt und hilft, störenden Hautglanz zu reduzieren.
 Die Formel mit AIRLICIUM-Technologie absorbiert überschüssigen Talg und sorgt für ein mattiertes Hautbild. Die leichte Gel-Textur zieht schnell ein, lässt sich angenehm verteilen und brennt nicht in den Augen.
 Die Sonnencreme ist frei von Duftstoffen und eignet sich auch für empfindliche Haut.
 LSF 50+ --50ml",50 ml,20.19,Anthelios,Sonnenschutz,"Aqua / Water, Diisopropyl Sebacate, Silica, Alcohol Denat., Ethylhexyl Salicylate, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diisopropyl Adipate, PEG-8, Dipropylene Glycol, C12-22 Alkyl Acrylate/Hydroxyethylacrylate Copolymer, Glycerin, Drometrizole Trisiloxane, Aluminum Starch Octenylsuccinate, Butyl Methoxydibenzoylmethane, Methoxypropylamino Cyclohexenylidene Ethoxyethylcyanoacetate, Tocopherol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Acrylates Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Bixa Orellana Seed Extract, Caprylyl Glycol, Citric Acid, Hydroxyacetophenone, Maltodextrin, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Pentylene Glycol, Silica Silylate, Sodium Polyacrylate, Terephthalylidene Dicamphor Sulfonic Acid, Triethanolamine, Trisodium Ethylenediamine Disuccinate, Zinc PCA

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
",Die Roche Posay Anthelios UVMune 400 Oil Control Gel-Creme LSF 50+ bietet sehr hohen Schutz vor UVB- sowie langwelligen UVA-Strahlen dank des innovativen Filterystems Mexoryl 400.,TRUE,FALSE,TRUE
Anua - 3 Ceramide Panthenol Moisture Barrier Cream - Nährende Creme Mit 3 Ceramiden - 3 Ceramide Moisture Barrier Cream 100ml,https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/799304/399709-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Eine nicht komedogene Feuchtigkeitscreme mit 3 Arten von eingekapselten Ceramiden und Panthenol. Sie stärkt die Hautbarriere, lindert Irritationen und versiegelt die Feuchtigkeit langanhaltend. --100ml",100 ml,20.95,Anua,Feuchtigkeitspflege,"Water, Panthenol, Butylene Glycol Propanediol, Caprylic/Capric Triglyceride, Glycerin, Cetyl Ethylhexanoate, Behenyl Alcohol, Octyldodecanol, Phenyl Trimethicone, Vinyl Dimethicone, 1,2-Hexanediol, Bis-Diglyceryl Polyacyladipate-2, Pentylene Glycol, Caprylyl Methicone, Centella Asiatica Extract, Polyglyceryl-3 Methylglucose Distearate, Betaine, C14-22 Alcohols, Ceramide NP, Phytosterols, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydrogenated Rice Bran Oil, C12-20 Alkyl Glucoside, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Glyceryl Stearate, Dimethiconol, Glyceryl Caprylate, Sodium Stearoyl Glutamate, Hydrogenated Lecithin Glyceryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Sodium Phytate Polyglyceryl-10 Stearate Ethylhexylglycerin, Sodium Hyaluronate, Ethylhexyl Olivate, Dipropylene Glycol, Sodium Acrylates Copolymer, Polyglyceryl-4 Oleate, Linolenic Acid, Polyglyceryl-10 Laurate, Sphingolipids, Phosphatidylcholine, 4-Terpineol, Allantoin, Ectoin, Hyaluronic Acid, Squalane, Lecithin, Asiaticoside, Escin, Madecassic Acid, Asiatic Acid, Beta-Sitosterol, Tremella Fuciformis (Mushroom) Extract, Ceramide AP, Ceramide Eop, Glycine, Glutamic Acid, Serine, Alanine, Lysine, Arginine, Proline, Threonine

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.","Nach dem Serum oder einer Ampulle verwenden.
Mit den Fingern oder einem Spatel auf Gesicht und Hals auftragen.
Morgens und abends anwenden.",FALSE,TRUE,FALSE
Anua - Airy Sun Cream SPF50+ PA++++,https://korean-skincare.de/cdn/shop/files/Product-page-sizes_829010bd-5c8a-48a2-bfc3-45a4586007a2.jpg?v=1751279803,"Breitspektrum-Sonnenschutz erleben mit der Anua Airy Sun Cream SPF50+ PA++++, die für empfindliche Haut entwickelt wurde. Diese Sonnencreme nutzt die Puderdispersionstechnologie für eine geschmeidige, feuchte Textur, die keine weissen Rückstände hinterlässt und für ein geschmeidiges Finish sorgt. Mit Centella Asiatica-Extrakt, Houttuynia Cordata-Extrakt, Teebaumextrakt und Artemisia Capillaris-Extrakt beruhigt und schützt sie gereizte Haut und bildet gleichzeitig eine Schutzbarriere gegen UV-Strahlen. --50ml",50 ml,17.95,Anua,Sonnenschutz,"Water, Zinc Oxide, Cyclohexasiloxane, Butyloctyl Salicylate, Propanediol, Propylheptyl Caprylate, Isododecane, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Caprylyl Methicone, Dicaprylyl Carbonate, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Centella Asiatica Extract, Artemisia Capillaris Extract, Houttuynia Cordata Extract, Melaleuca Alternifolia Extract, Sodium Hyaluronate, Disteardimonium Hectorite, Magnesium Sulfate, Triethoxycaprylylsilane, 1,2-Hexanediol, Polyglyceryl-2 Dipolyhydroxystearate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Phenyl Trimethicone, Acrylates/Dimethicone Copolymer, Glyceryl Caprylate, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol, Butylene Glycol, Pentylene Glycol

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
","Als letzten Schritt der Hautpflege auftragen, 15 Minuten vor dem Aufenthalt in der Sonne.
Eine fingerdicke Menge auf die Haut auftragen, dabei die Augen- und Mundpartie aussparen.
Je nach Bedarf häufig nachcremen.",TRUE,TRUE,TRUE
Anua - Azelaic 10 Hyaluron Redness Soothing Pad - Pads gegen Rötungen,https://media.sephora.eu/content/dam/gdam/europe/digital/pim/published/A/ANUA_THE_FOUNDERS/803166/399712-media_swatch-0.jpg?scaleWidth=750&scaleHeight=750&scaleMode=fit,"Beruhigende Toner-Pads, die speziell für empfindliche Haut und zu Rötungen neigende Haut entwickelt wurden. Sie sind durchtränkt mit Azelainsäure, Hyaluronsäure und einem CICA 7-Komplex.
Ihr dehnbares Material haftet angenehm auf der Haut und schenkt Bereichen, die zu Irritationen neigen, eine gezielte Linderung, gleichzeitig verbessern sie den Feuchtigkeitshaushalt und das Gleichgewicht der Haut. --230 ml",230 ml,20.95,Anua,Toner,"Water, Butylene Glycol, Dipropylene Glycol, Propanediol, Glycerin, Betaine, Diglycerin, Methylpropanediol, Hydroxyethyl Urea, 1,2-Hexanediol, Hydroxyacetophenone, Glycereth-25 PCA Isostearate, Panthenol, Melia Azadirachta Leaf Extract, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Melia Azadirachta Flower Extract, Allantoin, Sodium Polyacrylate, Glyceryl Acrylate/Acrylic Acid Copolymer, PVM/MA Copolymer, Theobroma Cacao (Cocoa) Seed Extract, Dextrin, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Sodium Hyaluronate, Azelaic Acid, Bisabolol, Dipotassium Glycyrrhizate, Zea Mays (Corn) Kernel Extract, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Asiatic Acid, Asiaticoside, Madecassic Acid, Madecassoside, Ceramide NP, Chlorella Vulgaris Extract, Melaleuca Alternifolia (Tea Tree) Leaf Water, Squalane, Dimethylsilanol Hyaluronate, Hydrolyzed Sodium Hyaluronate, Fructan, Pinus Pinaster Bark Extract, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Glucose, Sodium Hyaluronate Dimethylsilanol, Sodium Acetylated Hyaluronate.

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.","Nach der Reinigung ein Pad auf die betroffenen Bereiche legen und 10 bis 20 Minuten lang wie eine Maske einwirken lassen.
Anschließend das Pad sanft über das ganze Gesicht streichen, um die Haut zu glätten und zu erfrischen.
Geeignet für die tägliche Anwendung morgens und abends.",TRUE,TRUE,TRUE
Anua - Azelaic Acid 10 Hyaluron Redness Soothing Serum - Serum Gegen Unreinheiten - azelaic Acid 10 Soothing Serum 30ml,https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/803164/399711-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Ein beruhigendes Serum mit leichter Textur, formuliert mit 10 % Azelainsäure, Natriumhyaluronat und dem Anua Gentle Calming Complex™. Es hilft, Rötungen und Trockenheit zu lindern, spendet empfindlicher oder irritierter Haut Feuchtigkeit und beruhigt sie.
 Das Serum wurde entwickelt, um das Wohlbefinden und die Klarheit der Haut zu fördern. Es sorgt für ein glattes, frisches Finish. Die beruhigenden Wirkstoffe verleihen dem Serum seinen natürlich grünen Farbton.
 Die Formel enthält 10 % Azelainsäure, die Rötungen beruhigt und einen klaren Teint unterstützt. Natriumhyaluronat spendet langanhaltend Feuchtigkeit, während der Anua Gentle Calming Complex™ mit Aloe Vera und 7 Arten von Cica sichtbar beruhigende Ergebnisse fördert.
 30 ml",30 ml,22.95,Anua,Serum,"Water, Azelaic Acid, Propylene Glycol, Sodium Hydroxide, Dipropylene Glycol, 1,2-Hexanediol, Panthenol, Hydroxyethylcellulose, Betaine Salicylate, Glycerin, Biosaccharide Gum-1, Ethylhexylglycerin, Allantoin, Dipotassium Glycyrrhizate, Melia Azadirachta Leaf Extract, Camellia Sinensis Leaf Water, Sodium Hyaluronate, Melia Azadirachta Flower Extract, Niacinamide, Aloe Barbadensis Leaf Juice, Beta-Glucan, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Squalane, Zinc PCA, Butylene Glycol, Pentylene Glycol, Caprylyl/Capryl Glucoside, Hydrogenated Lecithin, Ceramide NP

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.
",Trage eine entsprechende Menge auf die Haut auf.,TRUE,TRUE,TRUE
Anua - Heartleaf 70% Intense Calming Cream,https://korean-skincare.de/cdn/shop/files/Anua_Heartleaf70_IntenseCalmingCream_Packshot.jpg?v=1776251089,"Die Anua Heartleaf 70 % Intense Calming Cream ist eine reichhaltige und dennoch nicht fettende Feuchtigkeitscreme, die empfindliche Haut beruhigt und gleichzeitig langanhaltende Feuchtigkeit spendet. Mit 70 % Heartleaf-Extrakt hilft diese beruhigende Creme, sichtbare Rötungen und Hautirritationen zu mindern und sorgt für einen klareren, ausgeglicheneren Teint. Ihre pflegende Textur zieht sanft in die Haut ein und spendet Wohlbefinden, ohne zu beschweren. --50ml",50 ml,32.95,Anua,Feuchtigkeitspflege,"Houttuynia Cordata Extract, Cetearyl Alcohol, Glycerin, Cyclohexasiloxane, Butylene Glycol, 1,2-Hexanediol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Glyceryl Stearate SE, Cetearyl Olivate, Sorbitan Olivate, Vegetable Oil, Panthenol, Hydrogenated Lecithin, Dipropylene Glycol, Behenyl Alcohol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Cetearyl Glucoside, Cholesterol, Xanthan Gum, Adenosine, Ceramide NP, Glucose, Water, Ethylhexylglycerin

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
","Trage als letzten Schritt deiner Hautpflege eine moderate Menge auf das Gesicht auf.
Verteile sie sanft und gleichmäßig auf der Haut.
Massiere sie sanft ein, damit sie besser einzieht.
Morgens und abends anwenden.",FALSE,TRUE,TRUE
Anua - Heartleaf 77% Clear Pad - Toner-pads Für Ein Verfeinertes Hautbild - heartleaf Niacinamide 10 + Txa 4 Serum,https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/811473/401035-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Die Toner-Pads peelen sanft, entfernen abgestorbene Hautzellen und bringen einen glatten, klaren Teint zum Vorschein.
 Die Formel mit 77 % Heartleaf-Extrakt hilft, die Haut auszugleichen und mit Feuchtigkeit zu versorgen. Gleichzeitig verfeinert sie das Hautbild, beruhigt den Teint und lässt ihn leuchtender wirken.
 PHA entfernt sanft Unreinheiten und überschüssigen Talg, ohne die Haut zu irritieren. Die Pads eignen sich ideal für empfindliche oder zu Akne neigende Haut, spenden intensive Feuchtigkeit und hinterlassen die Haut weich und erfrischt. --70 pads",70 pads,24.45,Anua,Toner,"Houttuynia Cordata Extract (77%), Water, Gluconolactone, Propanediol, Tromethamine, Butylene Glycol, 1,2-Hexanediol, Betaine, Ammonium Acryloyldimethyltaurate/VP Copolymer, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Pinus Palustris Leaf Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Camellia Sinensis Leaf Extract, Coix Lacryma-Jobi Ma-Yuen Seed Extract, Portulaca Oleracea Extract, Centella Asiatica Extract, Madecassoside, Asiatic Acid, Asiaticoside, Madecassic Acid, Sodium Phytate.

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.
","Nach der Gesichtsreinigung ein Pad über das ganze Gesicht streichen, spare dabei die Augenpartie und den Mund aus.
 Schließe den Deckel nach der Verwendung wieder sorgfältig.",TRUE,TRUE,TRUE
Anua - Heartleaf 77% Soothing Toner - Beruhigend Und Hydratisierend - anua Heartleaf 77 Soothing Toner 250ml,https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/799295/399700-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit,"Eine beruhigende Toner-Lotion für die tägliche Anwendung, formuliert mit 77 % Heartleaf-Extrakt, um Irritationen zu beruhigen, überschüssigen Talg zu kontrollieren und die Haut zu hydratisieren.
Ihre sanfte, leicht saure Formel (pH 5,5) hilft, die Hautbarriere auszugleichen und hinterlässt die Haut glatt und erfrischt. --250ml",250 ml,21.95,Anua,Toner,"Houttuynia Cordata Flower/Leaf/Stem Water, Water, 1,2-Hexanediol, Glycerin, Betaine, Butylene Glycol, Isopentyldiol, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Tromethamine, Centella Asiatica Extract, Arctium Lappa Root Extract, Phellinus Linteus Extract, Portulaca Oleracea Extract, Chamomilla Recutita (Matricaria) Flower Extract, Vitex Agnus-Castus Extract, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachten Sie die Verpackung des gekauften Produkts.",Morgens und abends nach der Reinigung anwenden,TRUE,TRUE,TRUE
Anua - Heartleaf Pore Control Cleansing Oil,https://korean-skincare.de/cdn/shop/files/Korean-Skincare-Official_3ed50000-6f14-4d76-92c6-ecabaa1db5ef.jpg?v=1764003968,"Das Anua Heartleaf Pore Control Cleansing Oil ist ein außergewöhnlicher Ölreiniger, der speziell auf die Bedürfnisse deiner Haut abgestimmt ist. Mit einer nicht komedogenen Mischung aus pflegenden Pflanzenölen, darunter Jojoba-, Oliven- und Traubenkernöl, reinigt es deine Haut mühelos, entfernt Unreinheiten und hinterlässt einen vitalisierten, hydratisierten Teint. --200 ml",200 ml,19.95,Anua,Feuchtigkeitspflege,"Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Caprylic/Capric Triglyceride, Butyl Avocadate, Fragrance, Helianthus Annuus Seed Oil, Macadamia Ternifolia Seed Oil, Olea Europaea Fruit Oil, Simmondsia Chinensis Seed Oil, Vitis Vinifera Seed Oil, Caprylyl Glycol, Ethylhexylglycerin, Curcuma Longa Root Extract, Melia Azadirachta Flower Extract, Tocopherol, Melia Azadirachta Leaf Extract, Houttuynia Cordata Extract, Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract

Die Liste der Inhaltsstoffe kann sich ändern. Bitte beachte die Verpackung des gekauften Produkts.


","2-3 Pumpstöße in die trockenen Hände geben und sanft über das trockene Gesicht massieren.
Gib ein paar Tropfen lauwarmes Wasser hinzu.
Eine weitere Minute lang leicht einmassieren, oder bis sich das Öl in eine Milch verwandelt hat.
Gründlich mit lauwarmem Wasser abspülen",TRUE,TRUE,FALSE
